id;student_service;cafeteria;source_file;date;prod_type;production_location;actual_output;product_name;menu_text;group_level_2;code_main_protein;group_level_1
12515;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2017-06-16;essen ii/iii/iv(topsell);Lager Küche Ring;113,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
12733;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2017-10-26;essen ii/iii/iv(topsell);Lager Küche Ring;254,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
12816;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2017-12-07;essen ii/iii/iv(topsell);Lager Küche Ring;186,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
12888;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2018-01-18;essen ii/iii/iv(topsell);Lager Küche Ring;196,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
12959;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2018-02-22;essen ii/iii/iv(topsell);Lager Küche Ring;92,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
13036;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2018-04-06;essen ii/iii/iv(topsell);Lager Küche Ring;75,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
13321;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2018-09-13;essen ii/iii/iv(topsell);Lager Küche Ring;128,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
13404;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2018-10-25;essen ii/iii/iv(topsell);Lager Küche Ring;242,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
13570;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2019-01-24;essen ii/iii/iv(topsell);Lager Küche Ring;155,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
13655;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2019-03-07;essen ii/iii/iv(topsell);Lager Küche Ring;239,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
